ingredients,Albertsons,Unnamed: 2,Amazon(brand) ,Unnamed: 4,Fred Meyers,Unnamed: 6,Winco,Unnamed: 8,Winco Bulk,Unnamed: 10,Trader Joes,Unnamed: 12,pricePerOzAlbertsons,pricePerOzAmazon(brand) ,pricePerOzFred Meyers,pricePerOzWinco,pricePerOzWinco Bulk,pricePerOzTrader Joes,lowest Cost Per Oz,Store with Low Cost
bobsRedMillwholeWheatPastryFlour,5.0,80.0,17.0,1280.0,11.0,80.0,,,,,,,0.0625,0.01328125,0.1375,,,,0.01328125,pricePerOzAmazon(brand) 
bobsRedMillwholeWheaFlour,5.0,80.0,17.0,80.0,4.3,80.0,4.0,80.0,0.5,16.0,,,0.0625,0.2125,0.05375,0.05,0.03125,,0.03125,pricePerOzWinco Bulk
allPuroseFlour,5.0,80.0,4.5,5.0,4.6,80.0,,,,,,,0.0625,0.9,0.0575,,,,0.0575,pricePerOzFred Meyers
AlmondFlour,10.0,16.0,30.0,64.0,9.0,16.0,9.5,16.0,9.1,16.0,6.99,16.0,0.625,0.46875,0.5625,0.59375,0.56875,0.436875,0.436875,pricePerOzTrader Joes
Oatmeal,,,,,7.0,42.0,,,0.7,16.0,,,,,0.166666667,,0.04375,,0.04375,pricePerOzWinco Bulk
cocoaPowder,6.0,8.0,,,5.5,10.0,3.9,10.0,3.5,16.0,,,0.75,,0.55,0.39,0.21875,,0.21875,pricePerOzWinco Bulk
wincoWholeWheatPastryFlour,,,,,,,,,0.88,16.0,,,,,,,0.055,,0.055,pricePerOzWinco Bulk
cakeFlour,,,,,4.8,32.0,3.0,26.0,0.48,16.0,,,,,0.15,0.115384615,0.03,,0.03,pricePerOzWinco Bulk
bobsRedMIllPastryFlour,7.0,80.0,37.0,80.0,,,,,,,,,0.0875,0.4625,,,,,0.0875,pricePerOzAlbertsons
PeaProteinPowder,,,15.0,27.52,,,,,8.0,16.0,,,,0.54505814,,,0.5,,0.5,pricePerOzWinco Bulk
soyProteinPowder,,,22.8,35.2,,,,,,,,,,0.647727273,,,,,0.647727273,pricePerOzAmazon(brand) 
brownRiceProteinPowder,,,22.0,32.0,,,,,,,,,,0.6875,,,,,0.6875,pricePerOzAmazon(brand) 
wheyAndCaseinProteinPowder,,,40.0,28.0,,,,,,,,,,1.428571429,,,,,1.428571429,pricePerOzAmazon(brand) 
bakingSoda(teaspoons),5.5,64.0,,,1.5,16.0,1.2,16.0,0.82,16.0,,,0.0859375,,0.09375,0.075,0.05125,,0.05125,pricePerOzWinco Bulk
bakingPowder(teaspoons),4.0,8.0,,,3.8,8.0,2.7,8.0,1.8,16.0,,,0.5,,0.475,0.3375,0.1125,,0.1125,pricePerOzWinco Bulk
cinamon(teaspoons),7.5,1.25,,,4.5,2.37,4.0,4.1,,,,,6.0,,1.898734177,0.975609756,,,0.975609756,pricePerOzWinco
nutmeg(teaspoons),9.5,1.8,,,8.4,1.1,4.0,1.1,,,,,5.277777778,,7.636363636,3.636363636,,,3.636363636,pricePerOzWinco
cloves(teaspoons),8.0,1.75,,,11.0,1.9,,,,,,,4.571428571,,5.789473684,,,,4.571428571,pricePerOzAlbertsons
ginger(teaspoons),8.0,1.25,,,5.0,1.5,,,,,,,6.4,,3.333333333,,,,3.333333333,pricePerOzFred Meyers
cardamom(teaspoons),11.5,1.75,,,8.5,2.0,,,,,,,6.571428571,,4.25,,,,4.25,pricePerOzFred Meyers
xanthamGum(teaspoons),13.0,8.0,20.0,16.0,10.0,8.0,,,,,,,1.625,1.25,1.25,,,,1.25,pricePerOzAmazon(brand) 
