,ingredients,Serving Size (cups),Serving Size (grams),Total Fat,Saturated Fat,Trans Fat,MonoUnsaturated Fat,PolyUnsaturated Fat,Cholesterol (mg),Sodium (mg) , Total Carbohydrates,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D (mcg ),Calcium (mg) ,Iron (mg),Potassium (mg),Thiamin  (mg),Niacin,Folate (mcg),Phosphorus (mg),magnessium(mg)
0,bobsRedMillwholeWheatPastryFlour,0.25,30,0.5,0,0,,,0,0,23,3,0,0,4,0,7,1,111,,,,,
1,allPuroseFlour,0.25,30,0,0,0,,,0,0,23,1,0,0,3,,,1.5,0.1,0.2,1.8,90,,
2,AlmondFlour,0.25,30,15,1.5,0,,,0,0,6,3,1,0,7,0,60,1,200,,,,,
3,Quaker Oats,0.5,40,3,0.5,0,1,1,0,0,27,4,1,0,5,0,20,1.5,150,0.2,,,130,40
4,cocoaPowder,0.0625,5,0.5,0,0,,,0,0,3,2,0,0,1,0,10,1.8,282,,,,,
5,wincoWholeWheatPastryFlour,0.25,30,0,0,0,,,0,0,23,4,0,0,3,0,0,0.72,0,,,,,
6,cakeFlour,0.25,28,0,0,0,,,0,0,22,0,0,0,2,0,0,1.3,30,0.25,1.9,80,,
7,bobsRedMIllPastryFlour,0.25,34,0.5,0,0,,,0,0,26,1,0,0,3,0,6,2,58,0.2,1,127,,
8,PeaProteinPowder,,26,3.5,1,0,,,0,190,0,0,0,0,20,0,48,7,5,,,,,
9,soyProteinPowder Isolate,0.25,30,0,0,0,,,0,220,0,0,0,0,27,0,0,2.3,25,,,,,
10,brownRiceProteinPowder,0.0625,5,0,0,0,,,0,0,0,0,0,0,4,0,2,0.3,0,,,,,
11,wheyAndCaseinProteinPowder,,29.5,1,0.5,0,,,30,230,2,0,1,0,23,0,6,0,270,,,,,
12,bakingSoda,0.002604167,0.6,0,,,,,,150,0,0,0,0,0,,,,,,,,,
13,bakingPowder,0.002604167,0.6,0,,,,,,60,0,0,0,0,0,,,,,,,,,
14,cinamon,0.0625,7.8,0.22,,,0.03,0.04,0,1.77,5.43,3.69,0.15,,0.26,,83.5,2.59,34,0.01,0.09,1.97,4.15,3.81
15,nutmeg,0.0625,7,2.5,1.8,,,,0,1,3.5,1.5,2,,0.4,0,10,0.18,,,,,,12.6
16,cardamom,0.0625,5.8,0.4,0,,,,0,1,4,1.6,,,0.6,0,20,0.72,,,,,,12.6
17,xanthamGum,0.125,9,0,0,0,0,0,0,260,7,7,0,0,0,0,0,0,,,,,,
18,Salt,0.020833333,6,0,0,,,,0,2325,0,0,0,,0,0,0,0,,,,,,0
19,guarGuam,0.0625,10,0.5,0,0,,,0,0,7,9,0,0,0,0,27,0,560,,,,,
20,cornStarch,0.0625,8,0,,,,,,0,7,,,,0,,,,,,,,,
21,vanillaExtract,0.020833333,0.020833333,0,0,,,,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
22,Almond Extract,0.020833333,0.020833333,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
23,naturesFlavorsButterExtract,,1,0,0,0,,,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
24,espressoPowder,0.020833333,2,0,,,,,,5,2,,,,0,,,,,,,,,
25,bobsRedMillEggReplacer,0.0625,10,0,0,0,,,0,320,7,1,0,0,0,0,3,0,15,,,,,
26,flaxMeal,0.125,13,3.5,0,0,1,2.5,0,0,5,3,0,0,3,0,20,1,108,,,,,
27,water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,chiaSeeds,0.125,26,7,0.5,0,0.5,6,0,0,10,10,0,0,6,0,132,2,198,,,,,
29,ErythritlInWater,0.03125,6,0,,,,,,0,6,,,,0,0,,,0,,,999,,
30,splendaInWater,2,10,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
31,whiteSugar,0.041666667,8,0,0,0,,,0,0,8,0,8,8,0,0,0,0,0,,,,,
32,Powdered Erythritol,0.03125,6,0,,,,,,0,6,,,,0,0,,,0,,,999,,
33,lightBrownSugar,0.041666667,8,0,0,0,,,0,0,8,0,8,8,0,0,0,0,0,,,,,
34,darkBrownSugar,0.041666667,6,0,0,0,0,0,0,1.7,5.8,0,5.8,5.8,0,0,5,0,0,,,,,
35,erythritol,0.03125,6,0,,,,,,0,6,,,,0,0,,,0,,,999,,
36,xylitol,0.041666667,8,0,0,0,,,0,0,8,0,0,0,0,0,0,0,0,,,999,,
37,splendaSucralose,2,10,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
38,monkFruitAndAllulose,2,8,0,,,,,,,8,0,0,0,0,,,,,,,,,
39,allulose,2,9,0,,,,,,,8,0,0,0,0,,,,,,,,,
40,wincoMonkFruitAndErythritol,2,8,0,,,,,,,8,0,0,0,0,,,,,,,,,
41,bulk suplements monk fruit extract,0.015625,2,,,,,,,,,,,,,,,,,,,,,
42,inulin,0.0625,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,10,,,,,
43,coconutOil,0.0625,14,14,13,0,1,0,0,0,0,0,0,0,0,,,,,,,,,
44,vegtableOil,0.0625,14,14,2,0,3,8,0,0,0,,,,0,,,,,,,,,
45,canolaOil,1,14,14,1,0,8,4,,0,0,,,,0,,,,,,,,,
46,earthBalanceButter,0.0625,11,9,2.5,0,3,3,,100,0,,,,0,,,,,,,,,
47,aquafabaButter,0.0625,11.77710582,11.28653693,9.534997798,1.188773438,10.91604616,10.18877344,1.188773438,0.909090909,0.181818182,1.279682528,1.188773438,1.188773438,0.272727273,73.18877344,73.18877344,73.21604616,83.18877344,73.47059162,74.77968253,109.5524098,82.18877344,82.18877344
48,"VeganBUTTER From Coco OOL, canolaoil, rapseedoil,nutritionalyeast ",0.0625,11.77710582,11.28653693,9.534997798,1.188773438,10.91604616,10.18877344,1.188773438,0.909090909,0.181818182,1.279682528,1.188773438,1.188773438,0.272727273,73.18877344,73.18877344,73.21604616,83.18877344,73.47059162,74.77968253,109.5524098,82.18877344,82.18877344
49,"Vegan Butter with AppleCider,yeast",0.0625,11.77710582,11.28653693,9.534997798,1.188773438,10.91604616,10.18877344,1.188773438,0.909090909,0.181818182,1.279682528,1.188773438,1.188773438,0.272727273,73.18877344,73.18877344,73.21604616,83.18877344,73.47059162,74.77968253,109.5524098,82.18877344,82.18877344
50,Peanut Butter Powder,0.125,16,2,0,0,,,0,95,6,2,3,2,8,0,20,0.36,188,,,,,
51,water for Peanut Butter Powder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,mollasses ,0.0625,14,0,,,,,,5,16,1,15,,0,0,30,0.7,200,,,,,10
53,Chocolate Chips,,15,4.5,2.5,0,,,0,0,10,0,8,8,0,0,6,1,51,,,,,
54,Butter,0.0625,14,12,7,0,,,30,0,0,0,0,0,0,0,3,0,3,,,,,
55,sunflower butter,0.125,32,18,2,0,,,0,110,4,2,0,0,8,0,20,1.8,235,,,,,
56,peanut butter,0.125,32,16,3,0,,,0,105,7,3,2,0,8,0,18,1,201,,,,,
57,egg,0.0625,8.5,0.9,0.3,,,,32,11,0.1,0,0,,1.1,0.15,0,0,11,,,,,
58,dried blueberrries,,,,,,,,,,,,,,,,,,,,,,,
59,rapseed oil1,0.422675,95,92,6.7,,,,,0,0,,,,0,,,,,,,,,
60,nutrional yeast,0.0625,5,0,0,0,,,0,10,2,1,0,0,3,0,0,0.3,110,3.1,17.5,400,,
61,rapseed oil balance,0.422675,40.154125,38.8861,2.8319225,41.844825,41.844825,41.844825,41.844825,0,0,41.844825,41.844825,41.844825,0,41.844825,41.844825,41.844825,41.844825,41.844825,41.844825,41.844825,41.844825,41.844825
62,bobsRedMillWholeWheat ,0.25,38,0.5,0,0,,,0,0,27,5,0,0,6,0,16,,147,,,,,
