,Serving Size (grams),Total Fat,Saturated Fat,Trans Fat,MonoUnsaturated Fat,PolyUnsaturated Fat,Cholesterol (mg),Sodium (mg) , Total Carbohydrates,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D (mcg ),Calcium (mg) ,Iron (mg),Potassium (mg),Thiamin  (mg),Niacin,Folate (mcg),Phosphorus (mg),magnessium(mg)
April 3 #2 CHocolate,345.0,102.53677671133335,34.160347570000006,0.0,12.603997239,32.46924906066667,0.0,817.1934081288889,73.05050214444444,16.52607906144444,37.214583323333336,36.0,62.719807672,0.0,195.54967947433335,21.030801260666667,1730.8397435926668,0.0004166666666666625,0.00375,0.08208333333333333,0.1729166666666667,0.6837500000000001
April 3 #1 choco base,319.25,99.45368767633335,47.49563423,0.0,9.218282959,22.740677640666668,0.0,1037.1934081188888,63.67550214944444,8.026079061444443,31.339583323333333,30.0,62.719807667,0.0,137.0496794693333,13.030801265666666,401.33974358266664,0.0004166666666666625,0.00375,0.08208333333333333,0.1729166666666667,0.6837500000000001
April 2 # 2 Sugar,304.875,71.93995774966666,44.43016584,0.0,7.074175819,17.024725264,61.016949180000005,1065.685499028889,92.17538209344444,16.938995707444445,38.49223163333333,36.0,54.611712303666664,0.0,23.389287292666666,2.865961539,627.413055192,0.213333344,1.92,96.0,0.0,0.525
April 2 #1 Sugar,319.375,86.34723590966667,45.056073803000004,0.0,7.2884615329999995,17.596153835,0.0,817.8888888788889,75.51542859944445,5.754682011444444,43.458333323333335,42.0,62.279110093666674,0.0,88.48001507266666,7.410667409,334.330316746,0.17647058999999998,0.88235295,112.05882354,0.0,0.525
April 1 #1 Choco CHip base,314.75,77.24390176633334,57.498503320000005,0.0,3.689711539,7.297820510666667,0.0,817.9626388788889,78.08726682944445,4.849608486444445,36.83958332833333,36.0,60.11347284200001,0.0,64.60624055933333,7.900937015666666,261.3352187026667,0.26512255166666665,1.327279425,168.17031864333336,0.1729166666666667,0.6837500000000001
March 31 #2 Oatmeal Raisin,370.875,90.88336714266667,46.03821666,0.0,9.095906588,18.701135521333335,0.0,821.6891666566667,106.17846154000001,13.651410257333332,39.59583332333334,36.0,70.23641024733334,0.0,131.36217948533331,9.036025641333334,598.5641025653333,0.45083333333333336,0.0075,0.16416666666666666,292.84583333333336,91.3675
March 31 Oatmeal Raisin,346.125,76.02466151566666,59.117746272000005,0.0,5.280961539,8.969487177333333,0.0,821.6891666566667,104.66564103833335,11.343717950333334,37.84583333333333,36.0,64.17871794033334,0.0,67.97756408933333,8.141794872333334,421.98717947933335,0.30083333333333334,0.0075,0.16416666666666666,195.34583333333333,61.3675
March 30 protein oatmeal #1,327.0,75.920348273,51.505859978,0.0,6.383818679,13.163772887333332,0.0,791.647500008,89.85314103833332,7.281217940333334,37.2625,36.0,53.66205127766666,0.0,98.56089742866666,12.584294866333332,216.08717947133331,0.4008333433333333,1.8075,90.16416666666667,130.34583333333333,40.8425
March 30 protein oatmeal #2,318.625,73.56605945466667,43.97571666,0.0,8.201675819,18.15305859733333,0.0,821.6891666566667,81.87397436666666,8.343717950333334,37.47083333333333,36.0,60.30371794533333,0.0,56.97756409433334,7.079294877333334,310.2371794793333,0.2258333333333333,0.0075,0.1641666666666666,146.59583333333333,46.3675
March 29 protein oatmeal,298.25,65.59394408516667,43.222145218,0.0,5.5203571405,11.842619041333334,0.0,788.0780555635556,81.18861112361111,7.635277779277779,37.8875,37.0,52.69666665216666,0.0,98.124999983,11.513333317833332,266.5833333273333,0.1258333333333333,0.0075,0.1641666666666666,81.59583333333333,26.3675
March 29 protein Sugar,313.995,77.15643801394667,51.40778306,0.0,4.85208790924,10.83736263304,0.0,711.11538462,86.96282053286666,3.881858954386667,36.89583332833333,36.0,45.08282050438667,0.0,70.29358974122668,9.35519229924,104.08153844196,0.40000002,3.6,180.0,0.0,0.525
March 28 Trad  Sugar ,274.25,96.41727741,47.266788078,0.0,8.678571419999999,21.39285713,0.0,1692.7083333413334,61.416666676666665,5.291666656666667,25.31249999,24.0,53.999999984,0.0,122.999999996,11.299999984,220.099999992,0.20000001,1.7999999999999998,90.0,0.0,0.0
