ingredients,bobsRedMillwholeWheatPastryFlour,bobsRedMillwholeWheaFlour,allPuroseFlour,AlmondFlour,Oatmeal,cocoaPowder,wincoWholeWheatPastryFlour,cakeFlour,bobsRedMIllPastryFlour,PeaProteinPowder,soyProteinPowder,brownRiceProteinPowder,wheyAndCaseinProteinPowder,bakingSoda(teaspoons),bakingPowder(teaspoons),cinamon(teaspoons),nutmeg(teaspoons),cloves(teaspoons),ginger(teaspoons),cardamom(teaspoons),xanthamGum(teaspoons),Salt(teaspoons),guarGuam(teaspoons),cornStarch(teaspoons),vanillaExtract(teaspoons),Almond Extract(teaspoons),naturesFlavorsButterExtract(teaspoons),espressoPowder(teaspoons),bobsRedMillEggReplacer,soy lecithin,flaxMeal,water,chiaSeeds,ErythritlInWater,splendaInWater,whiteSugar,Powdered Erythritol,lightBrownSugar,darkBrownSugar,erythritol,xylitol,splendaSucralose,monkFruitAndAllulose,allulose,wincoMonkFruitAndErythritol,bulk suplements monk fruit extract,inulin,coconutOil,vegtableOil,canolaOil,earthBalanceButter,aquafabaButter,"VeganBUTTER From Coco OOL, canolaoil, rapseedoil,nutritionalyeast ","Vegan Butter with AppleCider,yeast",Peanut Butter Powder,water for Peanut Butter Powder,mollasses ,Chocolate Chips,sunflower butter,peanut butter,dried blueberrries
April 7th chocochip protein base # 1 ,0.0,0.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.5,0.0,0.125,0.125,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,34.5,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,4.5,0.0,24.0,0.0,0.0,0.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April 6 SugarProtein #3,0.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.5,0.0,22.5,0.0,0.0,0.0,24.0,70.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0,0.0,1.25,10.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April 6 SugarProtein #2,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,30.0,35.0,0.0,40.0,0.0,0.0,0.75,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.5,0.0,0.0,0.0,1.5,0.0,67.5,0.0,0.0,0.0,24.0,70.0,0.0,0.0,0.0,0.0,6.0,0.0,20.0,0.0,2.5,10.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April 6 SugarProtein #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,45.0,45.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,67.5,0.0,0.0,0.0,12.0,75.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0,0.0,1.25,10.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April 5th Protein #2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,0.0,0.125,0.25,0.25,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,36.0,60.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April 5th Protein #1,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,30.0,30.0,30.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,9.33,60.0,0.0,0.0,6.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April 4th protein # 2 ,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,35.0,0.0,0.5,0.0,0.0,0.125,0.125,0.0,0.0,0.25,0.25,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,7.0,45.0,0.0,0.0,6.0,12.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April 4 Lemon Sugar Very Protein,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,40.0,35.0,35.0,0.0,0.5,0.0,0.125,0.125,0.125,0.0,0.0,0.25,0.25,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,7.0,45.0,0.0,0.0,4.5,12.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April 3 #2 CHocolate,0.0,15.0,0.0,30.0,0.0,25.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.5,0.0,0.125,0.125,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,7.0,45.0,0.0,0.0,6.0,36.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,4.0,0.0,0.0,50.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April 3 #1 choco base,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.5,0.0,0.125,0.125,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,7.0,45.0,0.0,0.0,6.0,0.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,4.0,0.0,0.0,30.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
