RecipeDateType,bobsRedMillwholeWheatPastryFlour,allPuroseFlour,AlmondFlour,Oatmeal,cocoaPowder,wincoWholeWheatPastryFlour,cakeFlour,bobsRedMIllPastryFlour,PeaProteinPowder,soyProteinPowder,brownRiceProteinPowder,wheyAndCaseinProteinPowder,bakingSoda,bakingPowder,cinamon,nutmeg,cardamom,xanthamGum,Salt,guarGuam,cornStarch,vanillaExtract,Almond Extract,naturesFlavorsButterExtract,espressoPowder,bobsRedMillEggReplacer,flaxMeal,water,chiaSeeds,ErythritlInWater,splendaInWater,whiteSugar,Powdered Erythritol,lightBrownSugar,darkBrownSugar,erythritol,xylitol,splendaSucralose,monkFruitAndAllulose,allulose,wincoMonkFruitAndErythritol,bulk suplements monk fruit extract,inulin,coconutOil,vegtableOil,canolaOil,earthBalanceButter,aquafabaButter,"VeganBUTTER From Coco OOL, canolaoil, rapseedoil,nutritionalyeast ","Vegan Butter with AppleCider,yeast",Peanut Butter Powder,water for Peanut Butter Powder,mollasses ,Chocolate Chips,Butter,sunflower butter,peanut butter,egg,dried blueberrries
March 30 protein oatmeal #1,0,30,0,40,0,0,0,0,26,0,30,0,2-Jan,0,4-Jan,0,8-Jan,8-Mar,4-Jan,0,0,2-Jan,0,0,0,0,7,45,0,0,6,36,40,0,0,0,0,0,0,36,0,4,0,0,10,0,0,0,60,0,0,0,0,0,0,0,0,0,0
March 30 protein oatmeal #2,15,0,0,45,0,0,0,0,0,30,30,0,2-Jan,0,4-Jan,8-Jan,8-Jan,8-Mar,4-Jan,0,0,2-Jan,0,0,0,0,7,45,0,0,4.5,36,40,0,0,0,0,0,0,36,0,3,0,0,20,0,0,0,50,0,0,0,0,0,0,0,0,0,0
March 29 protein oatmeal,30,0,0,25,0,0,0,0,26,0,30,0,2-Jan,0,4-Jan,0,4-Jan,4-Jan,4-Jan,0,4-Jan,2-Jan,0,0,0,0,6.5,45,0,0,4.5,13,50,24,0,0,0,0,0,24,0,3,0,0,10,0,0,0,50,0,0,0,0,0,0,0,0,0,0
March 29 protein Sugar,0,60,15,0,0,0,0,0,15,0,30,0,2-Jan,0,0,8-Jan,0,8-Mar,4-Jan,0,2-Jan,8-May,2-Jan,0,0,0,0.12,23,0,0,6,36,40,0,0,0,0,0,0,36,0,3,0,0,10,0,0,0,60,0,0,0,0,0,0,0,0,0,0
March 28 Trad  Sugar ,0,30,30,0,0,0,0,0,26,0,30,0,0,8-May,0,0,0,8-Mar,8-Mar,0,0,8-May,4-Jan,0,0,10,0,30,0,0,6,24,0,0,0,0,0,0,0,36,0,0,0,0,30,0,0,0,50,0,0,0,0,0,0,0,0,0,0
March 28 Proetin PB ,40,0,40,0,0,0,0,0,26,0,30,0,0,2-Jan,0,0,0,8-Mar,8-Mar,0,0,2-Jan,0,0,0,10,0,30,0,0,6,0,50,24,0,0,0,0,0,36,0,0,0,0,20,0,0,0,60,0,96,90,0,0,0,0,0,0,0
March27  Protein   Sugar,0,30,30,0,0,0,0,0,26,0,30,0,0,3-Feb,0,0,0,4-Jan,8-Mar,0,0,3-Feb,14,0,0,15,0,45,0,0,4.5,24,38,0,0,0,0,0,0,12,0,0,5,0,20,0,0,0,50,0,0,0,0,0,0,0,0,0,0
March 27 protein PB,30,30,0,0,0,0,0,0,26,0,30,0,0,2-Jan,0,0,0,8-Mar,4-Jan,0,0,2-Jan,0,0,0,0,7,45,0,0,4.5,0,41,0,0,0,0,0,24,0,0,0,5,0,0,0,0,60,0,0,64,90,0,0,0,0,0,0,0
March 26 Trad  pb,0,120,0,0,0,0,0,0,0,0,0,0,0,2g,0,0,0,0,8-Jan,0,0,3-Feb,0,0,0,7,0,20,0,0,3,24,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,80,112.5,0,0,0,0,0,0,0
March 26 Proetin pb ,0,60,0,0,0,0,0,0,26,0,30,0,0,2g,0,0,0,8-Mar,8-Jan,0,0,3-Feb,0,0,0,10,0,30,0,0,4.5,0,40,66,0,0,0,0,24,0,0,0,0,0,15,0,0,50,0,0,80,112.5,0,0,0,0,0,0,0
March25trda   Sugar,0,120,0,0,0,0,0,0,0,0,0,0,0,3-Feb,0,0,0,0,8-Mar,0,0,3-Feb,4-Jan,0,0,5,0,10,0,0,3,36,40,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
March 25 protein Sugar,30,40,0,0,0,0,0,0,20,0,30,0,0,3-Feb,0,0,0,8-Mar,8-Mar,0,0,3-Feb,4-Jan,0,0,10,0,30,0,0,4.5,24,40,0,0,0,0,0,0,12,0,0,0,0,15,0,0,0,50,0,0,0,0,0,0,0,0,0,0
March 24 Trad  Sugar ,30,90,30,0,0,0,0,0,0,0,0,0,0,3-Feb,0,0,0,0,4-Jan,0,0,3-Feb,4-Jan,0,0,5,0,15,0,0,0,36,40,0,0,0,0,0,0,12,0,0,5,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
March 24 ProetinSugar ,0,0,45,0,0,0,0,0,13,0,30,0,0,3-Feb,0,0,0,4-Jan,4-Jan,0,0,3-Feb,4-Jan,0,0,0,7,45,0,0,4.8,12,0,0,0,0,0,0,24,0,0,0,5,0,25,0,0,0,0,50,0,0,0,0,0,0,0,0,0
March 23 Trad  Sugar ,0,120,0,0,0,0,0,0,0,0,0,0,0,3-Feb,0,0,0,0,8-Jan,0,0,3-Feb,4-Jan,0,0,0,2.5,15,0,0,4.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0
