,RecipeDateType,bobsRedMillwholeWheatPastryFlour,allPuroseFlour,AlmondFlour,Oatmeal,cocoaPowder,wincoWholeWheatPastryFlour,cakeFlour,bobsRedMIllPastryFlour,PeaProteinPowder,soyProteinPowder,brownRiceProteinPowder,wheyAndCaseinProteinPowder,bakingSoda(teaspoons),bakingPowder(teaspoons),cinamon(teaspoons),nutmeg(teaspoons),cardamom(teaspoons),xanthamGum(teaspoons),Salt(teaspoons),guarGuam(teaspoons),cornStarch(teaspoons),vanillaExtract(teaspoons),Almond Extract(teaspoons),naturesFlavorsButterExtract(teaspoons),espressoPowder(teaspoons),bobsRedMillEggReplacer,flaxMeal,water,chiaSeeds,ErythritlInWater,splendaInWater,whiteSugar,Powdered Erythritol,lightBrownSugar,darkBrownSugar,erythritol,xylitol,splendaSucralose,monkFruitAndAllulose,allulose,wincoMonkFruitAndErythritol,bulk suplements monk fruit extract,inulin,coconutOil,vegtableOil,canolaOil,earthBalanceButter,aquafabaButter,"VeganBUTTER From Coco OOL, canolaoil, rapseedoil,nutritionalyeast ","Vegan Butter with AppleCider,yeast",Peanut Butter Powder,water for Peanut Butter Powder,mollasses ,Chocolate Chips,Butter,sunflower butter,peanut butter,egg,dried blueberrries
0,March 30 protein oatmeal #1,0,30,0,40,0,0,0,0,26,0,30,0,0.5,0,0.25,0,0.125,0.375,0.25,0,0,0.5,0,0,0,0,7,45,0,0,6.0,36,40,0,0,0,0,0.0,0,36,0,4,0,0,10,0,0,0,60,0,0,0.0,0,0,0,0,0,0,0
1,March 30 protein oatmeal #2,15,0,0,45,0,0,0,0,0,30,30,0,0.5,0,0.25,0.125,0.125,0.375,0.25,0,0,0.5,0,0,0,0,7,45,0,0,4.5,36,40,0,0,0,0,0.0,0,36,0,3,0,0,20,0,0,0,50,0,0,0.0,0,0,0,0,0,0,0
2,March 29 protein oatmeal,30,0,0,25,0,0,0,0,26,0,30,0,0.5,0,0.25,0,0.25,0.25,0.25,0,0.25,0.5,0,0,0,0,6.5,45,0,0,4.5,13,50,24,0,0,0,0.0,0,24,0,3,0,0,10,0,0,0,50,0,0,0.0,0,0,0,0,0,0,0
3,March 29 protein Sugar,0,60,15,0,0,0,0,0,15,0,30,0,0.5,0,0,0.125,0,0.375,0.25,0,0.5,0.625,0.5,0,0,0,0.12,23,0,0,6.0,36,40,0,0,0,0,0.0,0,36,0,3,0,0,10,0,0,0,60,0,0,0.0,0,0,0,0,0,0,0
4,March 28 Trad  Sugar ,0,30,30,0,0,0,0,0,26,0,30,0,0,0.625,0,0,0,0.375,0.375,0,0,0.625,0.25,0,0,10,0,30,0,0,6.0,24,0,0,0,0,0,0.0,0,36,0,0,0,0,30,0,0,0,50,0,0,0.0,0,0,0,0,0,0,0
5,March 28 Proetin PB ,40,0,40,0,0,0,0,0,26,0,30,0,0,0.5,0,0,0,0.375,0.375,0,0,0.5,0,0,0,10,0,30,0,0,6.0,0,50,24,0,0,0,0.0,0,36,0,0,0,0,20,0,0,0,60,0,96,90.0,0,0,0,0,0,0,0
6,March27  Protein   Sugar,0,30,30,0,0,0,0,0,26,0,30,0,0,0.6666666666666666,0,0,0,0.25,0.375,0,0,0.6666666666666666,14,0,0,15,0,45,0,0,4.5,24,38,0,0,0,0,0.0,0,12,0,0,5,0,20,0,0,0,50,0,0,0.0,0,0,0,0,0,0,0
7,March 27 protein PB,30,30,0,0,0,0,0,0,26,0,30,0,0,0.5,0,0,0,0.375,0.25,0,0,0.5,0,0,0,0,7,45,0,0,4.5,0,41,0,0,0,0,0.0,24,0,0,0,5,0,0,0,0,60,0,0,64,90.0,0,0,0,0,0,0,0
8,March 26 Trad  pb,0,120,0,0,0,0,0,0,0,0,0,0,0,0.008680556666666667,0,0,0,0,0.125,0,0,0.6666666666666666,0,0,0,7,0,20,0,0,3.0,24,30,66,0,0,0,0.0,0,0,0,0,0,0,0,0,0,77,0,0,80,112.5,0,0,0,0,0,0,0
9,March 26 Proetin pb ,0,60,0,0,0,0,0,0,26,0,30,0,0,0.008680556666666667,0,0,0,0.375,0.125,0,0,0.6666666666666666,0,0,0,10,0,30,0,0,4.5,0,40,66,0,0,0,0.0,24,0,0,0,0,0,15,0,0,50,0,0,80,112.5,0,0,0,0,0,0,0
