ingredients,Serving Size (cups),Serving Size (grams),Total Fat,Saturated Fat,Trans Fat,MonoUnsaturated Fat,PolyUnsaturated Fat,Cholesterol (mg),Sodium (mg) , Total Carbohydrates,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D (mcg ),Calcium (mg) ,Iron (mg),Potassium (mg),Thiamin  (mg),Niacin,Folate (mcg),Phosphorus (mg),magnessium(mg)
bobsRedMillwholeWheatPastryFlour,0.25,1,0.016666667,0,0,0,0,0,0,0.766666667,0.1,0,0,0.133333333,0,0.233333333,0.033333333,3.7,0,0,0,0,0
allPuroseFlour,0.25,1,0,0,0,0,0,0,0,0.766666667,0.033333333,0,0,0.1,0,0,0.05,0.003333333,0.006666667,0.06,3,0,0
AlmondFlour,0.25,1,0.5,0.05,0,0,0,0,0,0.2,0.1,0.033333333,0,0.233333333,0,2,0.033333333,6.666666667,0,0,0,0,0
Quaker Oats,0.5,1,0.075,0.0125,0,0.025,0.025,0,0,0.675,0.1,0.025,0,0.125,0,0.5,0.0375,3.75,0.005,0,0,3.25,1
cocoaPowder,0.0625,1,0.1,0,0,0,0,0,0,0.6,0.4,0,0,0.2,0,2,0.36,56.4,0,0,0,0,0
wincoWholeWheatPastryFlour,0.25,1,0,0,0,0,0,0,0,0.766666667,0.133333333,0,0,0.1,0,0,0.024,0,0,0,0,0,0
cakeFlour,0.25,1,0,0,0,0,0,0,0,0.785714286,0,0,0,0.071428571,0,0,0.046428571,1.071428571,0.008928571,0.067857143,2.857142857,0,0
bobsRedMIllPastryFlour,0.25,1,0.014705882,0,0,0,0,0,0,0.764705882,0.029411765,0,0,0.088235294,0,0.176470588,0.058823529,1.705882353,0.005882353,0.029411765,3.735294118,0,0
PeaProteinPowder,0,1,0.134615385,0.038461538,0,0,0,0,7.307692308,0,0,0,0,0.769230769,0,1.846153846,0.269230769,0.192307692,0,0,0,0,0
soyProteinPowder Isolate,0.25,1,0,0,0,0,0,0,7.333333333,0,0,0,0,0.9,0,0,0.076666667,0.833333333,0,0,0,0,0
brownRiceProteinPowder,0.0625,1,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.4,0.06,0,0,0,0,0,0
wheyAndCaseinProteinPowder,0,1,0.033898305,0.016949153,0,0,0,1.016949153,7.796610169,0.06779661,0,0.033898305,0,0.779661017,0,0.203389831,0,9.152542373,0,0,0,0,0
bakingSoda(teaspoons),1,0.6,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakingPowder(teaspoons),1,0.6,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cinamon(teaspoons),1,7.8,0.22,0,0,0.03,0.04,0,1.77,5.43,3.69,0.15,0,0.26,0,83.5,2.59,34,0.01,0.09,1.97,4.15,3.81
nutmeg(teaspoons),1,7,2.5,1.8,0,0,0,0,1,3.5,1.5,2,0,0.4,0,10,0.18,0,0,0,0,0,12.6
cardamom(teaspoons),1,5.8,0.4,0,0,0,0,0,1,4,1.6,0,0,0.6,0,20,0.72,0,0,0,0,0,12.6
xanthamGum(teaspoons),1,9,0,0,0,0,0,0,260,7,7,0,0,0,0,0,0,0,0,0,0,0,0
Salt(teaspoons),1,6,0,0,0,0,0,0,2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guarGuam(teaspoons),1,10,0.5,0,0,0,0,0,0,7,9,0,0,0,0,27,0,560,0,0,0,0,0
cornStarch(teaspoons),1,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
vanillaExtract(teaspoons),1,0.020833333,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Almond Extract(teaspoons),1,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naturesFlavorsButterExtract(teaspoons),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
espressoPowder(teaspoons),1,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
